TIME;IOITSecure447 > R Ph Voltage;IOITSecure447 > Y Ph Voltage;IOITSecure447 > B Ph Voltage;IOITSecure447 > Average Phase Voltage;IOITSecure447 > RY Line Voltage;IOITSecure447 > YB Line Voltage;IOITSecure447 > BR Line Voltage;IOITSecure447 > R Phase Line current ;IOITSecure447 > Y Phase Line current ;IOITSecure447 > B Phase Line current ;IOITSecure447 > Neutral Line current  ;IOITSecure447 > R Phase Active Current;IOITSecure447 > Y Phase Active Current;IOITSecure447 > B Phase Active Current;IOITSecure447 > R Phase Reactive Current;IOITSecure447 > Y Phase Reactive Current;IOITSecure447 > B Phase Reactive Current;IOITSecure447 > R- Phase Active Power;IOITSecure447 > Y- Phase Active Power;IOITSecure447 > B- Phase Active Power;IOITSecure447 > 3 Phase Active Power;IOITSecure447 > R- Phase Reactive Power;IOITSecure447 > Y- Phase Reactive Power;IOITSecure447 > B- Phase Reactive Power;IOITSecure447 > 3 Phase Reactive Power;IOITSecure447 > R- Phase Apparent Power;IOITSecure447 > Y- Phase Apparent Power;IOITSecure447 > B- Phase Apparent Power;IOITSecure447 > 3 Phase Apparent  Power
08/04/2024 00:00:01;230.96;231.03;232.83;231.60;401.37;399.27;402.90;29.25;31.71;22.37;14.52;26.18;28.24;22.40;12.95;14.69;-1.54;5.96;6.45;5.13;17.54;2.99;3.35;-0.29;6.05;6.75;7.21;5.30;18.71
08/04/2024 00:00:11;230.96;231.03;232.83;231.60;401.37;399.27;402.90;29.25;31.71;22.37;14.52;26.18;28.24;22.40;12.95;14.69;-1.54;5.96;6.45;5.13;17.56;3.00;3.38;-0.38;6.03;6.74;7.34;5.20;18.76
08/04/2024 00:00:21;230.93;230.99;232.75;231.54;401.33;399.02;402.77;29.15;31.66;22.44;14.45;26.15;28.06;22.42;12.93;14.61;-1.55;5.98;6.45;5.14;17.55;2.98;3.37;-0.36;6.00;6.72;7.30;5.22;18.76
08/04/2024 00:00:31;230.93;230.99;232.75;231.54;401.33;399.02;402.77;29.15;31.66;22.44;14.45;26.15;28.06;22.42;12.93;14.61;-1.55;5.98;6.45;5.14;17.55;2.98;3.37;-0.36;6.00;6.72;7.30;5.22;18.69
08/04/2024 00:00:41;230.51;230.63;232.37;231.17;400.57;398.34;401.94;29.18;31.63;22.50;14.36;26.15;28.13;22.47;12.94;14.61;-1.57;5.96;6.47;5.16;17.62;2.99;3.37;-0.37;5.98;6.73;7.39;5.24;18.83
08/04/2024 00:00:51;230.62;230.60;232.48;231.11;400.51;398.28;401.99;30.07;32.96;22.50;14.36;26.15;28.13;22.47;12.94;14.61;-1.57;5.96;6.47;5.16;17.62;2.99;3.37;-0.37;5.98;6.73;7.39;5.24;18.83
08/04/2024 00:01:01;230.62;230.60;232.48;231.11;400.51;398.28;401.99;30.07;32.96;22.58;14.30;26.86;29.50;22.53;13.52;14.61;-1.52;6.13;6.79;5.16;18.06;3.10;3.37;-0.35;6.12;6.93;7.62;5.22;19.26
08/04/2024 00:01:11;230.45;230.50;232.36;231.09;400.47;398.38;401.89;30.16;33.29;22.51;14.31;26.97;29.85;22.48;13.47;14.67;-1.51;6.13;6.79;5.16;18.06;3.10;3.37;-0.35;6.12;6.93;7.62;5.22;19.26
08/04/2024 00:01:21;230.45;230.50;232.36;231.09;400.47;398.38;401.89;30.16;33.29;22.51;14.31;26.97;29.85;22.48;13.47;14.67;-1.51;6.13;6.83;5.16;18.15;3.11;3.38;-0.36;6.14;6.93;7.66;5.23;19.32
08/04/2024 00:01:31;230.59;230.52;232.38;231.15;400.68;398.49;402.07;30.21;33.32;22.53;14.22;26.94;29.92;22.49;13.49;14.70;-1.48;6.13;6.84;5.15;18.18;3.12;3.38;-0.36;6.14;6.93;7.66;5.23;19.32
08/04/2024 00:01:41;230.59;230.52;232.38;231.15;400.68;398.49;402.07;30.21;33.32;22.53;14.22;26.94;29.92;22.49;13.49;14.70;-1.48;6.13;6.84;5.15;18.18;3.12;3.39;-0.36;6.14;6.96;7.68;5.25;19.38
08/04/2024 00:01:51;230.78;230.72;232.68;231.41;401.04;398.80;402.41;30.20;33.31;22.48;14.29;26.89;29.88;22.59;13.44;14.74;-1.49;6.15;6.86;5.16;18.16;3.12;3.38;-0.36;6.14;6.96;7.69;5.23;19.33
08/04/2024 00:02:01;230.77;230.69;232.68;231.41;401.04;398.80;402.41;30.20;33.31;22.48;14.29;26.89;29.88;22.59;13.44;14.74;-1.49;6.15;6.86;5.16;18.16;3.12;3.38;-0.36;6.14;6.96;7.69;5.23;19.33
08/04/2024 00:02:11;230.77;230.69;232.62;231.41;401.08;398.81;402.50;30.14;33.15;22.52;14.34;26.89;29.73;22.47;13.53;14.72;-1.52;6.12;6.79;5.16;18.12;3.13;3.39;-0.35;6.17;6.95;7.63;5.21;19.27
08/04/2024 00:02:21;230.60;230.63;232.53;231.28;400.80;398.67;402.44;30.11;32.49;22.45;14.82;26.90;29.73;22.47;13.53;14.72;-1.52;6.12;6.79;5.16;18.12;3.13;3.39;-0.35;6.17;6.95;7.63;5.21;19.27
08/04/2024 00:02:31;230.60;230.63;232.53;231.28;400.80;398.67;402.44;30.11;32.49;22.45;14.82;26.90;28.88;22.40;13.56;14.67;-1.56;6.13;6.54;5.14;17.80;3.13;3.40;-0.36;6.15;6.95;7.37;5.24;19.01
08/04/2024 00:02:41;230.71;230.94;232.67;231.41;401.06;398.78;402.54;30.21;31.92;22.55;15.16;26.94;28.21;22.47;13.61;14.73;-1.53;6.13;6.54;5.14;17.80;3.13;3.40;-0.36;6.15;6.95;7.37;5.24;19.01
08/04/2024 00:02:51;230.71;230.94;232.67;231.41;401.06;398.78;402.54;30.21;31.92;22.55;15.16;26.94;28.21;22.47;13.61;14.73;-1.53;6.15;6.50;5.14;17.78;3.14;3.39;-0.35;6.19;6.96;7.41;5.26;19.08
